ΞΟΦΛΗΜΕΝ,ξοφλημένους
ΕΥΚΑΙΡΙΑΚ,ευκαιριακός
ΕΥΑΙΣΘΗΣΙ,ευαισθησία
ΕΤΟΙΜΑΤΖΙΔΙΚ,ετοιματζίδικος
ΕΤΕΡΟΚΛΗΤ,ετερόκλητος
ΕΣΩΣΤΡΕΦΕΙ,εσωστρέφεια
ΕΡΠΕΤ,ερπετό
ΕΡΜ,έρμος
ΕΡΙΦ,ερίφης
ΕΡΗΜ,έρημος
ΕΡΕΘΙΣΜ,ερεθισμός
ΕΡΓΑΤΟΠΑΤΕΡ,εργατοπατέρας
ΕΡΑΣΤ,εραστής
ΕΠΩΔΥΝ,επώδυνος
ΕΠΟΧΟΥΜΕΝ,εποχούμενος
ΕΠΙΦΥΛΑΚΤΙΚ,επιφυλακτικός
ΕΠΙΠΟΛΑΙ,επιπόλαιος
ΕΠΙΚΙΝΔΥΝ,επικίνδυνοι
ΕΠΙΘΕΤΙΚΟΤΗΤ,επιθετικότητα
ΕΠΙΘΕΤΙΚ,επιθετική
ΕΠΙΘΕΣ,επίθεση
ΕΠΙΔΡΟΜΕ,επιδρομέας
ΕΠΙΔΕΡΜΙΚ,επιδερμικός
ΕΠΙΒΗΤΟΡ,επιβήτορας
ΕΠΕΙΣΟΔΙΑΚ,επεισοδιακός
ΕΞΩΛ,εξώλης
ΕΞΥΠΝΟΥΤΣΙΚ,εξυπνούτσικος
ΕΞΥΠΝΟΥΛΙΚ,εξυπνούλικα
ΕΞΥΠΝΟΥΛ,εξυπνούλης
ΕΞΥΠΝΑΚΙΣΤΙΚ,εξυπνακίστικος
ΕΞΥΠΝΑΚΙ,εξυπνάκιας
ΕΞΗΝΤΑΒΕΛΟΝ,εξηνταβελόνης
ΕΞΑΨ,έξαψη
ΕΞΑΡΤΗΣ,εξάρτηση
ΕΞΑΡΣ,έξαρση
ΕΞΑΛΛ,έξαλλος
ΕΞΑΛΕΙΨ,εξάλειψη
ΕΝΤΟΝ,έντονος
ΕΝΤΑΣ,ένταση
ΕΝΣΠΕΙΡ,ενσπείρω
ΕΝΟΧΛΗΣ,ενόχληση
ΕΝΟΧΛΗΜ,ενόχλημα
ΕΝΟΧ,ενοχή
ΕΝΔΟΣΤΡΕΦΕΙ,ενδοστρέφεια
ΕΜΠΡΗΣΤΙΚ,εμπρηστική
ΕΜΠΡΗΣΜ,εμπρησμό
ΕΜΠΑΘ,εμπαθής
ΕΜΠΑΘΕΙ,εμπάθεια
ΕΜΜΟΝΙΚ,εμμονικό
ΕΜΕΤ,εμετός
ΕΜΕΤΟΛΟΓΙ,εμετολογία
ΕΜΕΤΙΚ,εμετικός
ΕΜΒΡΟΝΤΗΤ,εμβρόντητος
ΕΛΛΕΙΜ,έλλειμα
ΕΛΙΤ,ελίτ
ΕΛΕ,έλεος
ΕΛΕΗΜΟΣΥΝ,ελεημοσύνη
ΕΚΤΕΘΕΙΜΕΝ,εκτεθειμένος
ΕΚΡΗΞ,έκρηξη
ΕΚΡΗΓΝΥΜ,εκρήγνυμαι
ΕΚΛΙΠ,εκλιπών
ΕΚΒΙΑΣΜ,εκβιασμούς
ΕΚΑΤΟΧΡΟΝΙΤΙΚ,εκατοχρονίτικος
ΕΙΡΩΝΕΥΟΜ,ειρωνεύομαι
ΕΙΡΩΝΕΙ,ειρωνεία
ΕΙΡΩΝ,είρωνας
ΕΙΔΕΧΘ,ειδεχθής
ΕΘΝΟΠΑΤΡΙΩΤΙΚ,εθνοπατριωτικές
ΕΔΕΗΣ,εδέησα
ΕΓΩΙΣΤ,εγωιστής
ΕΓΩΙΣΤΑΡ,εγωίσταρος
ΕΓΚΛΗΜΑΤΙΚ,εγκληματικής
ΕΓΚΕΦΑΛ,εγκέφαλος
ΕΓΚΕΦΑΛΙΚ,εγκεφαλικός
ΕΒΡΙΖ,έβριζε
ΕΒΡΑΙ,εβραίος
ΕΒΡΑΪΚ,εβραϊκός
ΔΩΜ,δώμα
ΔΥΣΦΟΡΙ,δυσφορία
ΔΥΣΤΥΧΙΣΜΕΝ,δυστυχισμένος
ΔΥΣΠΙΣΤ,δύσπιστος
ΔΥΣΠΕΠΤ,δύσπεπτος
ΔΥΣΘΥΜΙ,δυσθυμία
ΔΥΣΑΡΕΣΚΕΙ,δυσαρέσκεια
ΔΥΣΑΙΣΘΗΣΙ,δυσαισθησία
ΔΡΑΧΜΟΛΑΓΝ,δραχμολάγνοι
ΔΡΑΣΤ,δράστης
ΔΡΑΠΕΤΕΥ,δραπετεύω
ΔΟΥΛΙΚ,δουλικό
ΔΟΥΛΑΚ,δουλάκι
ΔΟΥΛ,δούλα
ΔΟΤ,δοτός
ΔΟΣΟΛΗΨΙ,δοσοληψία
ΔΟΡΥΦΟΡ,δορυφόρος
ΔΟΝΚΙΧΩΤΙΚ,δονκιχωτικός
ΔΟΝΚΙΧΟΤΙΣΜ,δονκιχοτισμός
ΔΟΝΚΙΧΟΤΙΚ,δονκιχοτικός
ΔΟΛΟΦΟΝ,δολοφόνος
ΔΟΛΟΠΛΟΚ,δολοπλόκος
ΔΟΛΙ,δόλιος
ΔΟΚΗΣΙΣΟΦ,δοκησίσοφος
ΔΟΚΗΣΙΣΟΦΙ,δοκησισοφία
ΔΟΓΜΑΤΙΚ,δογματικός
ΔΟΓΜ,δόγμα
ΔΙΨΑΛΕ,διψαλέος
ΔΙΠΛΩΜΑΤΙΚ,διπλωματικός
ΔΙΠΛΩΜΑΤ,διπλωμάτης
ΔΙΠΛΑΡΩΜ,διπλάρωμα
ΔΙΟΠΤΡΟΦΟΡ,διοπτροφόρος
ΔΙΚΟΛΑΒ,δικολάβος
ΔΙΕΦΘΑΡΜΕΝ,διεφθαρμένος
ΔΙΕΥΘΥΝΤΗΡΙ,διευθυντήριο
ΔΙΑΦΘΟΡ,διαφθοράς
ΔΙΑΦΗΜΙΣΤΙΚ,διαφημιστικός
ΔΙΑΦΗΜΙΣΤ,διαφημιστής
ΔΙΑΣΥΡΜ,διασυρμός
ΔΙΑΣΤΡΟΦ,διαστροφή
ΔΙΑΣΤΡΕΦ,διαστρέφω
ΔΙΑΣΠΕΙΡ,διασπείρω
ΔΙΑΠΛΟΚ,διαπλοκής
ΔΙΑΠΛΕΚΟΜΕΝ,διαπλεκόμενα
ΔΙΑΜΑΝΤΙΚ,διαμαντικό
ΔΙΑΚΟΝΙ,διακονιά
ΔΙΑΚΑ,διακαής
ΔΙΑΙΣΘΗΤΙΚΟΤΗΤ,διαισθητικότητα
ΔΙΑΙΣΘΗΤΙΚ,διαισθητικός
ΔΙΑΙΣΘΗΣ,διαίσθηση
ΔΙΑΙΣΘΑΝΟΜ,διαισθάνομαι
ΔΙΑΒΟΛ,διάβολος
ΔΗΜΑΓΩΓ,δημαγωγός
ΔΕΣΜΩΤ,δεσμώτης
ΔΕΚΑΝΙΚ,δεκανίκι
ΔΕΙΛ,δειλός
ΔΕΙΓΜ,δείγμα
ΔΑΥΤ,δάυτος
ΓΥΦΤ,γύφτος
ΓΥΦΤΙ,γυφτιά
ΓΥΦΤΑΡ,γύφταρος
ΓΥΦΤΑΡΙ,γυφταριό
ΓΥΦΤΑΚ,γυφτάκι
ΓΥΡΟΦΕΡΝ,γυροφέρνω
ΓΥΡΟΛΟΓ,γυρολόγος
ΓΥΡΙΣΤΡ,γυρίστρα
ΓΥΜΝΙ,γύμνια
ΓΥΑΛΑΚΙ,γυαλάκιας
ΓΡΑΦΙΚΟΤΗΤ,γραφικότητα
ΓΡΑΦΙΚ,γραφικός
ΓΡΑΦΙ,γραφιάς
ΓΟΜΑΡ,γομάρι
ΓΛΥΚΕΡ,γλυκερός
ΓΛΕΙΦ,γλείφω
ΓΛΕΙΦΤΡ,γλείφτρα
ΓΛΕΙΦΤ,γλείφτης
ΓΛΑΣΤΡ,γλάστρα
ΓΚΡΑΝΚΑΣ,γκρανκάσα
ΓΚΟΜΕΝΙΛΙΚ,γκομενιλίκι
ΓΚΟΜΕΝΑΚΙ,γκομενάκιας
ΓΚΛΑΒ,γκλάβα
ΓΚΙΟΣ,γκιόσα
ΓΚΙΑΟΥΡ,γκιαούρης
ΓΚΕΣΤΑΠΙΤ,γκεσταπίτης
ΓΚΑΝΤΕΜΗΔ,γκαντέμηδες
ΓΚΑΜΗΛ,γκαμήλα
ΓΚΑΒΩΝ,γκαβώνω
ΓΚΑΒΩΜΑΡ,γκαβωμάρα
ΓΚΑΒ,γκαβός
ΓΚΑΒΑΚ,γκάβακας
ΓΙΟΥΦΤ,γιούφτος
ΓΙΟΥΦΤΑΚ,γιουφτάκος
ΓΙΟΚ,γιόκας
ΓΙΔΙ,γίδια
ΓΙΑΤΡΟΣΟΦ,γιατροσόφι
ΓΙΑΝΚ,γιάνκης
ΓΙΑΛΑΝΤΖ,γιαλαντζί
ΓΗΡΟΚΟΜΕΙ,γηροκομείο
ΓΕΡΟΥΣΙ,γερουσία
ΓΕΡΟΤΡΑΓ,γεροτράγος
ΓΕΡ,γέρος
ΓΕΡΟΠΑΡΑΛΥΜΕΝ,γεροπαραλυμένος
ΓΕΡΟΞΟΥΡ,γεροξούρας
ΓΕΡΟΞΕΚΟΥΤ,γεροξεκούτης
ΓΕΡΟΝΤΟΚΟΡ,γεροντοκόρος
ΓΕΡΟΜΠΑΜΠΑΛ,γερομπαμπαλής
ΓΕΡΜΑΝΟΤΣΟΛΙ,γερμανοτσολιάς
ΓΕΡΑΣΜΕΝ,γερασμένο
ΓΕΛΟΙ,γελοίος
ΓΕΛΟΙΟΠΟΙΗΘΗΚ,γελοιοποιήθηκαν
ΓΑΤΑΚ,γατάκι
ΓΑΜΩΤ,γαμώτη
ΓΑΜ,γαμώ
ΓΑΜΙΟΛ,γαμιόλης
ΓΑΜΙΕΤ,γαμιέται
ΓΑΜΙΕΜ,γαμιέμαι
ΓΑΜΙ,γαμιάς
ΓΑΜΗΣΙΑΤΙΚ,γαμησιάτικα
ΓΑΜΗΣΙ,γαμήσια
ΓΑΜΗΣ,γαμήσι
ΓΑΜΗΜΕΝ,γαμημένος
ΓΑΜΗΘΕΙΤ,γαμηθείτε
ΓΑΜΑ,γαμάει
ΓΑΪΔΟΥΡΟΚΑΒΑΛΑΡΙ,γαϊδουροκαβαλαρία
ΓΑΙΔΑΡ,γάιδαρος
ΓΑΒΓΙΣΜ,γάβγισμα
ΓΑΒΓΙΖ,γαβγίζω
ΒΥΖΑΡ,βυζάρες
ΒΡΩΜΟΧΕΡ,βρωμόχερο
ΒΡΩΜΟΠΟΔΑΡ,βρωμοποδαράς
ΒΡΩΜΟΠΑΙΔ,βρωμόπαιδο
ΒΡΩΜΑ,βρωμάει
ΒΡΟΜΟΧΕΡ,βρομόχερο
ΒΡΟΜΟΣΚΥΛ,βρομόσκυλο
ΒΡΟΜΟΠΟΔΑΡ,βρομοποδαράς
ΒΡΟΜΟΠΑΙΔ,βρομόπαιδο
ΒΡΟΜΙ,βρομιές
ΒΡΙΖ,βρίζει
ΒΟΥΤΥΡΟΠΑΙΔ,βουτυρόπαιδο
ΒΟΥΤΥΡΟΜΠΕΜΠ,βουτυρομπεμπές
ΒΟΥΛΙΑΖ,βουλιάζουν
ΒΟΥΙΖ,βουίζω
ΒΟΥΒΑΛ,βουβάλι
ΒΟΪΔΑΜΑΞ,βοϊδάμαξα
ΒΟΘΡ,βόθρο
ΒΟΔ,βόδι
ΒΛΑΧ,βλάχος
ΒΛΑΧΟΔΗΜΑΡΧ,βλαχοδήμαρχος
ΒΛΑΧΙ,βλαχιά
ΒΛΑΧΑΡ,βλαχάρα
ΒΛΑΧΑΚ,βλαχάκι
ΒΛΑΜΜΕΝ,βλαμμένος
ΒΛΑΚΕΙ,βλακεία
ΒΛΑΚ,βλάκας
ΒΙ,βίας
βία,βία
ΒΔΕΛΥΓΜΙ,βδελυγμία
ΒΑΨΟΜΑΛΛΙΑΔ,βαψομαλλιάδες
ΒΑΨΟΜΑΛΛ,βαψομάλλης
ΒΑΡΥΣΤΟΜΑΧΙ,βαρυστομαχιά
ΒΑΡΥΠΕΝΘΟΥΣ,βαρυπενθούσα
ΒΑΡΥΠΕΝΘ,βαρυπενθούν
ΒΑΡΥΜΑΓΚ,βαρύμαγκας
ΒΑΡ,βάρος
ΒΑΡΙΕΣΤΗΜΕΝ,βαριεστημένος
ΒΑΡΙΕΣΤΗΜΑΡ,βαριεστημάρα
ΒΑΡΙΕΜ,βαριέμαι
ΒΑΡΕΤ,βαρετός
ΒΑΡΕΛΑΚ,βαρελάκι
ΒΑΡΕΛ,βαρέλα
ΒΑΡΑΙΝ,βαραίνω
ΒΑΛΚΑΝΙ,βαλκάνιος
ΑΨΙΘΥΜΙ,αψιθυμία
ΑΧΩΝΕΥΤ,αχώνευτη
ΑΧΥΡΑΝΘΡΩΠ,αχυράνθρωπος
ΑΧΡΙΣΤ,άχριστος
ΑΧΡΗΣΤ,αχρήστων
ΑΧΟΡΤΑΓ,αχόρταγος
ΑΧΑΡΙΣΤ,αχάριστος
ΑΦΙΟΝΙΖ,αφιονίζω
ΑΦΙΛΑΝΘΡΩΠ,αφιλάνθρωπος
ΑΦΙΛΑΝΘΡΩΠΙ,αφιλανθρωπία
ΑΦΗΝΙΑΖ,αφηνιάζω
ΑΦΑΙΡ,αφαιρώ
ΑΥΤΟΥΡΓ,αυτουργός
ΑΥΤΟΪΚΑΝΟΠΟΙΟΥΜ,αυτοϊκανοποιούμαι
ΑΥΤΟΪΚΑΝΟΠΟΙΗΣ,αυτοϊκανοποίηση
ΑΥΤΟΔΙΚ,αυτοδικώ
ΑΥΤΟΓΕΛΟΙΟΠΟΙΗΘΗΚ,αυτογελοιοποιήθηκαν
ΑΥΤΑΠΑΤ,αυταπάτη
ΑΥΡΙΑΝΙΣΜ,αυριανισμός
ΑΥΛ,αυλή
ΑΥΘΑΔΟΜΟΥΤΡ,αυθαδόμουτρο
ΑΥΓ,αυγά
ΑΤΡΟΜ,άτρομος
ΑΤΕΓΚΤ,άτεγκτος
ΑΤΑΡΑΧ,ατάραχος
ΑΣΧΗΜ,άσχημος
ΑΣΧΕΤ,άσχετος
ΑΣΦΥΞΙ,ασφυξία
ΑΣΦΥΚΤΙ,ασφυκτιώ
ΑΣΦΥΚΤΙΚ,ασφυκτικός
ΑΣΦΑΛΙΤ,ασφαλίτης
ΑΣΦΑΛ,ασφαλής
ΑΣΥΝΔΕΤ,ασύνδετος
ΑΣΥΝΑΙΣΘΗΤ,ασυναίσθητος
ΑΣΥΜΜΑΖΕΥΤ,ασυμμάζευτα
ΑΣΤΟΡΓ,άστοργος
ΑΣΤΟΙΧΕΙΩΤ,αστοιχείωτος
ΑΣΤΑΤ,άστατος
ΑΣΤΑΘΕΙ,αστάθεια
ΑΣΠΡΟΥΛΙΑΡ,ασπρουλιάρης
ΑΣΠΟΝΔΥΛ,ασπόνδυλος
ΑΣΠΟΝΔ,άσπονδος
ΑΣΚΕΡ,ασκέρι
ΑΣΕΜΝ,άσεμνος
ΑΡΧΟΜΑΝ,αρχομανής
ΑΡΧΙΨΕΥΤΡ,αρχιψεύτρα
ΑΡΧΙΨΕΥΤ,αρχιψεύτης
ΑΡΧΙΤΕΜΠΕΛ,αρχιτεμπέλα
ΑΡΧΙΜΑΦΙΟΖ,αρχιμαφιόζος
ΑΡΧΙΜΑΣΟΝ,αρχιμασόνος
ΑΡΧΙΚΛΕΦΤ,αρχικλέφτης
ΑΡΧΙΚΛΕΦΤΑΡ,αρχικλέφταρος
ΑΡΧΙΔΙ,αρχίδια
ΑΡΧΙΔ,αρχίδι
ΑΡΧΑΙ,αρχαίος
ΑΡΡΩΣΤΟΦΑΓΙ,αρρωστοφαγία
ΑΡΡΩΣΤ,άρρωστος
ΑΡΡΩΣΤΗΜΕΝ,αρρωστημένος
ΑΡΝΑΟΥΤΙΚ,αρναούτικος
ΑΡΝΑΟΥΤ,αρναούτης
ΑΡΙΣΤΟΚΡΑΤΙΣΣ,αριστοκράτισσα
ΑΡΙΣΤΟΚΡΑΤΙ,αριστοκρατία
ΑΡΙΣΤΟΚΡΑΤ,αριστοκράτης
ΑΡΕΙΜΑΝΙ,αρειμάνιος
ΑΡΒΥΛ,αρβύλα
ΑΡΒΑΝΙΤΙΚ,αρβανίτικος
ΑΡΒΑΝΙΤ,αρβανίτης
ΑΡΑΠΙ,αραπιά
ΑΡΑΠ,αράπης
ΑΡΑΠΑΚΛ,αράπακλας
ΑΡΑΜΠ,αραμπάς
ΑΠΩΘ,απωθώ
ΑΠΩΘΗΣ,απώθηση
ΑΠΥΘΜΕΝ,απύθμενος
ΑΠΡΟΙΚΙΣΤ,απροίκιστος
ΑΠΟΧΩΡΙΣΜ,αποχωρισμός
ΑΠΟΧΑΙΡΕΤΙΣΜ,αποχαιρετισμός
ΑΠΟΦΑΓΙ,αποφάγια
ΑΠΟΤΥΦΛΩΝ,αποτυφλώνω
ΑΠΟΤΡΟΠΙΑΣΜ,αποτροπιασμός
ΑΠΟΣΤΡΟΦ,αποστροφή
ΑΠΟΣΤΡΕΦΟΜ,αποστρέφομαι
ΑΠΟΣΤΕΡΗΣ,αποστέρηση
ΑΠΟΣΤΑΣΙΟΠΟΙΟΥΜ,αποστασιοποιούμαι
ΑΠΟΣΤΑΘΕΡΟΠΟΙΗΣ,αποσταθεροποίησης
ΑΠΟΣΚΑΤ,απόσκατα
ΑΠΟΝ,άπονος
ΑΠΟΝΑΡΚΩΣ,απονάρκωση
ΑΠΟΛΕΙΦΑΔ,απολειφάδι
ΑΠΟΖΗΤ,αποζητώ
ΑΠΟΔΟΚΙΜΑΣΙ,αποδοκιμασία
ΑΠΟΓΟΗΤΕΥΣ,απογοήτευση
ΑΠΗΔΗΧΤ,απήδηχτος
ΑΠΕΧΘΕΙ,απέχθεια
ΑΠΕΛΠΙΣΜΕΝ,απελπισμένος
ΑΠΕΛΠΙΣΙ,απελπισία
ΑΠΑΤΕΩΝ,απατεώνας
ΑΠΑΤ,απάτες
ΑΠΑΝΘΡΩΠ,απάνθρωπος
ΑΠΑΝΘΡΩΠΟΠΟΙΗΣ,απανθρωποποίηση
ΑΠΑΝΘΡΩΠΙ,απανθρωπιά
ΑΠΑΙΣΙ,απαίσιος
ΑΟΡΙΣΤ,αόριστος
ΑΝΩΡΙΜ,ανώριμος
ΑΝΥΠΑΡΚΤ,ανύπαρκτος
ΑΝΤΙΧΡΙΣΤ,αντίχριστος
ΑΝΤΙΣΤΕΚΟΜ,αντιστέκομαι
ΑΝΤΙΣΗΜΙΤΙΚ,αντισημιτικός
ΑΝΤΙΣΗΜΙΤ,αντισημίτης
ΑΝΤΙΠΑΘΕΙ,αντιπάθεια
ΑΝΤΙΛΑΪΚ,αντιλαϊκών
ΑΝΤΙΔΡΑΣΤΙΚ,αντιδραστικοί
ΑΝΤΙΔΗΜΟΚΡΑΤΙΚ,αντιδημοκρατικός
ΑΝΤΙΓΡΑΦΕ,αντιγραφέας
ΑΝΤΙΑΜΕΡΙΚΑΝΙΚ,αντιαμερικανικός
ΑΝΤ,άντες
ΑΝΟΣΤ,άνοστος
ΑΝΟΙ,άνοια
ΑΝΟΗΤ,ανόητος
ΑΝΙΣΤΟΡΗΤ,ανιστόρητου
ΑΝΙΚΑΝ,ανίκανους
ΑΝΙΚΑΝΟΤΗΤ,ανικανότητα
ΑΝΙΚΑΝΟΠΟΙΗΤ,ανικανοποίητος
ΑΝΙ,ανία
ΑΝΘΡΩΠΟΦΟΒΙ,ανθρωποφοβία
ΑΝΘΡΩΠΑΚ,ανθρωπάκι
ΑΝΕΥΘΥΝ,ανεύθυνος
ΑΝΕΥΘΥΝΟΛΟΓ,ανευθυνολογώ
ΑΝΕΠΑΡΚ,ανεπαρκής
ΑΝΕΠΑΡΚΕΣΤΑΤ,ανεπαρκέστατη
ΑΝΕΝΤΡΟΠΙΑΣΤ,ανεντρόπιαστος
ΑΝΕΝΤΙΜ,ανέντιμος
ΑΝΕΛΕΗΤ,ανελέητος
ΑΝΕΛΕΗΜΟΝ,ανελεήμονας
ΑΝΕΚΦΡΑΣΤ,ανέκφραστος
ΑΝΕΚΔΟΤΟΛΟΓΙ,ανεκδοτολογία
ΑΝΕΚΔΙΗΓΗΤ,ανεκδιήγητος
ΑΝΕΙΛΙΚΡΙΝ,ανειλικρινής
ΑΝΔΡΕΙΚΕΛ,ανδρείκελο
ΑΝΑΤΡΙΧΙΛ,ανατριχίλα
ΑΝΑΤΡΙΧΙΑΖ,ανατριχιάζω
ΑΝΑΣΦΑΛΕΙ,ανασφάλεια
ΑΝΑΣΤΕΝΑΓΜ,αναστεναγμός
ΑΝΑΣΤΑΤΩΣ,αναστάτωση
ΑΝΑΣΤΑΤΩΝ,αναστατώνω
ΑΝΑΣΤΑΤ,ανάστατος
ΑΝΑΣΚΙΡΤ,ανασκιρτώ
ΑΝΑΡΙΓ,αναριγώ
ΑΝΑΠΗΔ,αναπηδώ
ΑΝΑΜΜ,άναμμα
ΑΝΑΛΙΓΩΝ,αναλιγώνω
ΑΝΑΛΓΗΤ,ανάλγητη
ΑΝΑΛΓΗΣΙ,αναλγησία
ΑΝΑΚΡΑΖ,ανακράζω
ΑΝΑΚΑΤΕΥ,ανακατεύω
ΑΝΑΚΑΤΕΜ,ανακάτεμα
ΑΝΑΙΣΧΥΝΤ,αναίσχυντος
ΑΝΑΙΣΧΥΝΤΙ,αναισχυντία
ΑΝΑΙΣΘΗΤ,αναίσθητος
ΑΝΑΙΣΘΗΣΙ,αναισθησία
ΑΝΑΙΔ,αναιδής
ΑΝΑΘΕΜ,ανάθεμα
ΑΜΦΙΘΥΜΙ,αμφιθυμία
ΑΜΝΗΣΙ,αμνησία
ΑΜΑΥΡΩΝ,αμαυρώνει
ΑΜ,αμάν
ΑΛΥΤΡΩΤ,αλύτρωτος
ΑΛΥΣΙΔ,αλυσίδα
ΑΛΥΠΗΤ,αλύπητος
ΑΛΟΓΟΜΟΥΡ,αλογομούρης
ΑΛΟΓΙΚ,αλογικός
ΑΛΟΓ,αλόγα
ΑΛΛΟΠΙΣΤ,αλλόπιστος
ΑΛΛΗΘΩΡΙΖ,αλληθωρίζω
ΑΛΛΑΧ,αλλάχ
ΑΛΛΑΞΟΚΩΛΙ,αλλαξοκωλιά
ΑΛΙΕΥ,αλιεύω
ΑΛΗΤΟΤΟΥΡΙΣΤ,αλητοτουρίστας
ΑΛΗΤΟΠΑΡΕ,αλητοπαρέα
ΑΛΗΤ,αλήτης
ΑΛΗΤΑΡΙ,αληταριό
ΑΛΗΤΑΡ,αληταράς
ΑΛΗΤΑΜΠΟΥΡ,αλητάμπουρας
ΑΛΗΤΑΚ,αλητάκι
ΑΛΕΥΡΩΝ,αλευρώνω
ΑΛΑΛ,άλαλος
ΑΚΡΟΔΕΞΙ,ακροδεξιά
ΑΚΡΑΙ,ακραίος
ΑΚΟΡΕΣΤ,ακόρεστος
ΑΚΗΔΕΜΟΝΕΥΤ,ακηδεμόνευτος
ΑΚΑΤΑΝΟΗΤ,ακατανόητη
ΑΚΑΤΑΛΛΗΛ,ακατάλληλος
ΑΚΑΡΔ,άκαρδος
ΑΚΑΠΝ,άκαπνος
ΑΚΑΛΛΙΕΡΓΗΤ,ακαλλιέργητος
ΑΚΑΛΑΙΣΘΗΤ,ακαλαίσθητος
ΑΚΑΛΑΙΣΘΗΣΙ,ακαλαισθησία
ΑΙΣΧΡ,αισχρό
ΑΙΣΧ,αίσχος
ΑΙΣΘΗΜΑΤΟΛΟΓ,αισθηματολόγος
ΑΙΣΘΗΜΑΤΟΛΟΓΙ,αισθηματολογία
ΑΙΣΘΗΜΑΤΙΣΜ,αισθηματισμός
ΑΙΡΕΣΙΑΡΧ,αιρεσιάρχης
ΑΙΜ,αίμα
ΑΙΔ,αιδώς
ΑΙΔΗΜΟΣΥΝ,αιδημοσύνη
ΑΘΛΙΟΤΗΤ,αθλιότητες
ΑΘΛΙ,άθλιες
ΑΗΔΙΑΖ,αηδιάζω
ΑΗΔΙ,αηδία
ΑΗΔ,αηδής
ΑΕΡΟΛΟΓΙ,αερολογία
ΑΕΡΟΒΑΤ,αεροβατώ
ΑΔΡΑΝΕΙ,αδράνεια
ΑΔΙΚ,άδικος
ΑΔΙΕΞΟΔ,αδιεξόδου
ΑΔΙΑΦΟΡΙ,αδιαφορία
ΑΔΙΑΝΤΡΟΠ,αδιάντροπος
ΑΔΙΑΛΥΤ,αδιάλυτος
ΑΔΕΙ,άδειος
ΑΔΕΙΑΣΜ,άδειασμα
ΑΔΕΙΑΖ,αδειάζω
ΑΓΧ,άγχος
ΑΓΥΡΙΣΤ,αγύριστο
ΑΓΡΟΤΟΠΑΤΕΡ,αγροτοπατέρας
ΑΓΡΟΙΚ,αγροίκος
ΑΓΡΙΕΥ,αγριεύω
ΑΓΡΙΕΜ,αγρίεμα
ΑΓΡΑΜΜΑΤ,αγράμματος
ΑΓΟΡΕΥ,αγορεύω
ΑΓΟΝ,άγονος
ΑΓΚΟΥΣΕΥ,αγκουσεύω
ΑΓΕΛ,αγέλη
ΑΓΑΝΑΚΤ,αγανακτώ
ΑΓΑΝΑΚΤΗΣ,αγανάκτηση
ΑΓΑΜΗΤ,αγάμητος
ΑΓΑΜΗΣ,αγαμήσου
ΑΒΥΣΣ,άβυσσο
